Alcohol Percentage,Alcoholic__,All Ingredients,amount,Alcoholic,pure alcohol,Nonalcoholic,Number of Records,Ingredient Index,Ingredient Name,Sort of drink,Cocktail Name,Extra,Garnish,Glass,Index,Ingredient 1 #,Ingredient 2 #,Ingredient 3 #,Ingredient 4 #,Ingredient 5 #,Ingredient 6 #,Ingredient 7 #,Ingredient 8 #,Ingredient 9 #,Method
0.4,TRUE,White Rum,6,6,2.4,,1,Ingredient 1,White Rum,All Day Cocktail,Hemingway Special,,,double cocktail,33,6,4,1.5,1.5,,,,,,shake & strain
0.4,TRUE,Cognac,4,4,1.6,,1,Ingredient 1,Cognac,Longdrink,Horse’s Neck,add dashes of Angostura bitters,rind of one lemon spiral,highball,34,4,12,,,,,,,,stir
0.4,TRUE,Irish whiskey (heat up),4,4,1.6,,1,Ingredient 1,Irish whiskey (heat up),Hot Drink,Irish Coffee,,,coffee mug,35,4,9,3,1,,,,,,warm & pour
0.4,TRUE,Gin,4.5,4.5,1.8,,1,Ingredient 1,Gin,Longdrink,John Collins,dash of Angostura bitters,lemon slice and maraschino cherry,highball glass,36,4.5,3,1.5,6,,,,,,stir
0.4,TRUE,Vodka,3,3,1.2,,1,Ingredient 1,Vodka,All Day Cocktail,Kamikaze,,,cocktail,37,3,3,3,,,,,,,shake & strain
0.14,TRUE,Dry White Wine,9,9,1.26,,1,Ingredient 1,Dry white wine,Before Dinner Cocktail,Kir,For Kir Royal: Use champagne instead of white wine,,champagne glass,38,9,1,,,,,,,,Pour
0.4,TRUE,Citron Vodka,2.5,2.5,1,,1,Ingredient 1,Citron Vodka,All Day Cocktail,Lemon Drop Martini,glass rimmed with suga,slice of lemon,cocktail,39,2.5,2,1.5,,,,,,,shake & strain
0.4,TRUE,Tequila,1.5,1.5,0.6,,1,Ingredient 1,Tequila,Longdrink,Long Island Iced Tea,Serve with straw.,lemon spiral,highball,40,1.5,1.5,1.5,1.5,1.5,2.5,3,1,,stir
0.4,TRUE,White Rum,4,4,1.6,,1,Ingredient 1,White Rum,Longdrink,Mai-Tai,Serve with straw.,"pineapple spear, mint leaves and lime peel",highball,41,4,2,1.5,1.5,1,,,,,shake & strain
0.4,TRUE,Rye Whiskey,5,5,2,,1,Ingredient 1,Rye Whiskey,Before Dinner Cocktail,Manhattan,,cocktail cherry,cocktail,42,5,2,1,,,,,,,shake & strain
